Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,Round,PQL
11.0,Lovely Venom,16,10,2,4,1,5,2,16,0,,,,,Lobby 3,Quarterfinals,Preseason_Qualifier_2
12.0,Mystical,12,9,0,12,0,4,1,10,1,,,,,Lobby 3,Quarterfinals,Preseason_Qualifier_2
13.0,Chimera,10,15,2,13,6,18,0,18,0,,,,,Lobby 3,Quarterfinals,Preseason_Qualifier_2
14.0,NÃO sei,10,7,0,7,0,13,0,8,1,,,,,Lobby 3,Quarterfinals,Preseason_Qualifier_2
15.0,CRUSHERS TEAM,8,4,1,17,0,11,1,19,0,,,,,Lobby 3,Quarterfinals,Preseason_Qualifier_2
16.0,Voy a Hacer,7,13,0,5,1,19,0,15,0,,,,,Lobby 3,Quarterfinals,Preseason_Qualifier_2
17.0,Solo Push,5,16,0,19,0,15,3,11,0,,,,,Lobby 3,Quarterfinals,Preseason_Qualifier_2
18.0,Tharsis,3,18,0,16,0,14,0,12,1,,,,,Lobby 3,Quarterfinals,Preseason_Qualifier_2
19.0,Squad Sombra,1,14,0,18,0,17,0,17,0,,,,,Lobby 3,Quarterfinals,Preseason_Qualifier_2
20.0,ItzFiv5,0,20,0,20,0,20,0,20,0,,,,,Lobby 3,Quarterfinals,Preseason_Qualifier_2
1.0,TK,69,8,4,6,2,1,21,1,13,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_2
2.0,ZETTA,46,6,3,1,19,6,1,8,3,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_2
3.0,KARMA K41,37,1,13,7,0,15,0,6,5,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_2
4.0,USB,36,13,5,3,7,16,2,4,9,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_2
5.0,Team wascka,35,5,10,4,4,10,5,10,3,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_2
6.0,sFx,34,14,1,2,4,2,7,11,2,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_2
7.0,Natural Killer,31,4,1,16,3,3,2,2,4,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_2
8.0,ROCKETZ TEAM,27,2,9,19,0,7,3,9,1,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_2
9.0,PiscoSour,24,16,1,10,4,5,3,5,6,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_2
10.0,Os MIAU,18,9,0,5,1,13,0,3,3,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_2
11.0,Olympians,14,3,4,12,2,17,0,20,0,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_2
12.0,Thirsty For Kill,12,12,0,9,0,4,3,12,0,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_2
13.0,zTeletubbiesTeam,8,10,0,11,3,12,0,15,0,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_2
14.0,SussyBaka,8,7,0,8,1,11,0,14,0,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_2
15.0,Nagga 5,6,18,0,15,1,14,2,13,0,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_2
16.0,SEM ORG,6,19,1,17,0,9,0,7,0,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_2
17.0,PTX,5,15,1,18,0,8,1,16,0,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_2
18.0,Dynanik Team 1,2,20,0,13,1,18,0,17,0,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_2
19.0,1crack2crack,2,11,0,14,0,19,0,20,0,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_2
20.0,Bicentenario,0,17,0,20,0,20,0,20,0,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_2
1.0,AIM,74,1,16,6,8,2,6,10,6,10.0,4.0,11.0,5.0,Lobby 1,Semifinals,Preseason_Qualifier_2
2.0,Love Egirls,64,3,8,15,0,1,10,17,0,13.0,0.0,1.0,13.0,Lobby 1,Semifinals,Preseason_Qualifier_2
3.0,BRZ,54,6,3,19,3,12,4,12,6,1.0,12.0,5.0,5.0,Lobby 1,Semifinals,Preseason_Qualifier_2
4.0,BTH,54,12,2,1,7,18,0,1,13,6.0,0.0,14.0,3.0,Lobby 1,Semifinals,Preseason_Qualifier_2
5.0,SLU,51,4,4,5,1,4,7,4,6,7.0,5.0,6.0,3.0,Lobby 1,Semifinals,Preseason_Qualifier_2
6.0,KZN,47,9,0,2,10,3,0,3,4,5.0,2.0,8.0,0.0,Lobby 1,Semifinals,Preseason_Qualifier_2
7.0,LIONS,45,5,6,13,3,16,0,6,0,2.0,7.0,3.0,5.0,Lobby 1,Semifinals,Preseason_Qualifier_2
8.0,BHT,37,10,6,4,2,9,8,13,1,8.0,0.0,4.0,3.0,Lobby 1,Semifinals,Preseason_Qualifier_2
9.0,Team seven,36,8,1,11,0,8,6,9,0,11.0,6.0,2.0,6.0,Lobby 1,Semifinals,Preseason_Qualifier_2
10.0,SST,33,18,1,16,2,20,0,2,4,3.0,7.0,7.0,0.0,Lobby 1,Semifinals,Preseason_Qualifier_2
11.0,ElemenT,25,11,2,3,9,17,2,7,1,18.0,0.0,17.0,0.0,Lobby 1,Semifinals,Preseason_Qualifier_2
12.0,GDb,24,13,1,12,0,5,7,16,1,12.0,2.0,10.0,4.0,Lobby 1,Semifinals,Preseason_Qualifier_2
13.0,Fluxo Team,23,2,1,7,3,14,0,11,1,9.0,0.0,13.0,1.0,Lobby 1,Semifinals,Preseason_Qualifier_2
14.0,As Misera,21,20,0,20,0,10,3,8,5,4.0,2.0,9.0,0.0,Lobby 1,Semifinals,Preseason_Qualifier_2
15.0,Sobek,15,16,3,14,0,7,1,5,3,16.0,0.0,19.0,0.0,Lobby 1,Semifinals,Preseason_Qualifier_2
16.0,Seven,14,17,1,9,3,13,2,20,0,15.0,3.0,16.0,1.0,Lobby 1,Semifinals,Preseason_Qualifier_2
17.0,PRDX,14,14,4,10,1,15,0,14,0,14.0,3.0,18.0,0.0,Lobby 1,Semifinals,Preseason_Qualifier_2
18.0,PATETEX,10,19,0,8,0,6,1,15,2,19.0,0.0,15.0,0.0,Lobby 1,Semifinals,Preseason_Qualifier_2
19.0,SP,9,7,2,17,0,11,0,19,3,20.0,0.0,20.0,0.0,Lobby 1,Semifinals,Preseason_Qualifier_2
20.0,Legión de monos,3,15,0,18,0,19,0,18,0,17.0,0.0,12.0,1.0,Lobby 1,Semifinals,Preseason_Qualifier_2
1.0,TK,69,19,3,2,6,5,5,1,7,2.0,11.0,11.0,2.0,Lobby 2,Semifinals,Preseason_Qualifier_2
2.0,MVP,68,5,11,3,6,6,5,4,3,5.0,13.0,9.0,5.0,Lobby 2,Semifinals,Preseason_Qualifier_2
3.0,MonsTer Team,54,2,15,7,4,15,1,11,7,6.0,2.0,6.0,5.0,Lobby 2,Semifinals,Preseason_Qualifier_2
