Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5,Region
4,RL.Genesis,44,2,10,15,1,4,3,4,4,Lobby 2,Semifinals,9,2,8,0,APAC_South
5,WGGxPK,42,17,0,2,4,1,8,19,0,Lobby 2,Semifinals,5,5,17,0,APAC_South
6,On the Sticks,39,1,8,17,0,15,1,15,3,Lobby 2,Semifinals,7,3,7,4,APAC_South
7,EVO BERZ,39,8,0,16,0,6,1,3,4,Lobby 2,Semifinals,1,8,9,0,APAC_South
8,WGG,37,20,0,9,14,20,0,6,1,Lobby 2,Semifinals,3,10,20,0,APAC_South
9,Antiaa,37,11,1,8,0,3,7,11,0,Lobby 2,Semifinals,8,6,2,1,APAC_South
10,MBTN,36,19,3,20,1,2,9,18,1,Lobby 2,Semifinals,20,0,5,9,APAC_South
11,iON,31,7,3,10,0,7,0,10,0,Lobby 2,Semifinals,10,0,3,9,APAC_South
12,NonetWork,27,5,2,3,3,12,1,13,6,Lobby 2,Semifinals,12,0,11,0,APAC_South
13,South Cartel,26,15,0,5,4,5,3,9,2,Lobby 2,Semifinals,13,2,15,2,APAC_South
14,InfernoDSC,25,10,2,13,3,8,0,17,1,Lobby 2,Semifinals,6,7,10,2,APAC_South
15,AMG TW,25,6,0,4,4,14,3,8,3,Lobby 2,Semifinals,19,1,16,3,APAC_South
16,HeadHunters,24,18,0,11,5,13,0,5,6,Lobby 2,Semifinals,4,2,18,0,APAC_South
17,DYN,21,3,1,7,2,10,0,14,0,Lobby 2,Semifinals,16,0,6,2,APAC_South
18,LittleMeow,13,9,0,14,1,19,0,7,0,Lobby 2,Semifinals,14,2,13,2,APAC_South
19,Hardstuck D4,10,14,0,6,0,17,0,16,3,Lobby 2,Semifinals,18,2,14,0,APAC_South
20,QE.NY,1,16,1,19,0,18,0,20,0,Lobby 2,Semifinals,17,0,19,0,APAC_South
1,O3,67,6,4,6,9,13,6,11,3,Lobby 1,Finals,1,8,3,10,APAC_South
2,TX,66,11,3,3,6,4,5,2,12,Lobby 1,Finals,4,11,14,1,APAC_South
