Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5,Split
11.0,GSUB,27,20,0,3,12,16,0,14,1,Lobby 1,Semifinals,17.0,3.0,16.0,3.0,Split_2
12.0,Juiced,27,6,3,10,3,14,0,15,3,Lobby 1,Semifinals,11.0,3.0,10.0,5.0,Split_2
13.0,MAGL,21,15,0,18,0,8,3,6,1,Lobby 1,Semifinals,6.0,2.0,6.0,3.0,Split_2
14.0,Systematic,21,13,1,2,4,11,0,13,1,Lobby 1,Semifinals,13.0,2.0,18.0,0.0,Split_2
15.0,OGL,21,9,0,12,0,2,2,9,1,Lobby 1,Semifinals,12.0,2.0,12.0,0.0,Split_2
16.0,COOKIE,20,18,0,16,0,13,5,4,5,Lobby 1,Semifinals,8.0,1.0,13.0,0.0,Split_2
17.0,KYG,19,11,6,20,0,12,6,18,1,Lobby 1,Semifinals,9.0,1.0,20.0,1.0,Split_2
18.0,Bots,18,19,0,14,3,19,1,20,0,Lobby 1,Semifinals,3.0,5.0,11.0,0.0,Split_2
19.0,okok,16,17,0,17,0,17,0,16,0,Lobby 1,Semifinals,5.0,5.0,5.0,3.0,Split_2
20.0,REIGN,6,8,3,19,0,18,0,17,0,Lobby 1,Semifinals,19.0,0.0,15.0,0.0,Split_2
1.0,DNZY,90,1,15,1,11,1,8,5,5,Lobby 2,Semifinals,4.0,6.0,16.0,0.0,Split_2
2.0,MDYB,87,20,0,8,9,2,11,14,3,Lobby 2,Semifinals,1.0,17.0,3.0,16.0,Split_2
3.0,YTS,72,5,9,19,0,4,13,2,8,Lobby 2,Semifinals,10.0,2.0,5.0,16.0,Split_2
4.0,Horizon,54,12,8,11,3,8,3,19,0,Lobby 2,Semifinals,6.0,10.0,1.0,11.0,Split_2
5.0,iON-H,49,4,4,7,2,14,2,1,14,Lobby 2,Semifinals,9.0,0.0,14.0,3.0,Split_2
6.0,RYU,43,2,8,16,0,3,2,10,4,Lobby 2,Semifinals,5.0,2.0,10.0,3.0,Split_2
7.0,DRG,42,14,5,20,0,11,5,3,3,Lobby 2,Semifinals,3.0,9.0,7.0,1.0,Split_2
8.0,姐妹花,27,7,3,10,3,6,3,8,4,Lobby 2,Semifinals,14.0,1.0,8.0,0.0,Split_2
9.0,ASC,27,8,4,17,0,15,1,11,2,Lobby 2,Semifinals,2.0,5.0,9.0,0.0,Split_2
10.0,RZ,25,15,0,5,0,13,5,4,7,Lobby 2,Semifinals,13.0,1.0,18.0,0.0,Split_2
11.0,September,24,18,0,2,9,19,0,13,0,Lobby 2,Semifinals,15.0,0.0,6.0,1.0,Split_2
12.0,JKs,22,9,1,3,6,20,0,15,0,Lobby 2,Semifinals,17.0,0.0,4.0,0.0,Split_2
13.0,ZeroTwo,17,10,0,6,5,16,0,9,4,Lobby 2,Semifinals,18.0,0.0,13.0,0.0,Split_2
