Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5,Split
4.0,NAT,43,15,0,11,3,7,2,4,3,Lobby 1,Semifinals,1.0,8.0,5.0,1.0,Split_2
5.0,EVA:E,42,14,0,13,1,12,0,9,0,Lobby 1,Semifinals,5.0,8.0,1.0,12.0,Split_2
6.0,RDNS,42,6,0,6,4,3,5,16,1,Lobby 1,Semifinals,3.0,8.0,12.0,3.0,Split_2
7.0,GEMI,42,2,9,19,0,5,4,13,0,Lobby 1,Semifinals,12.0,0.0,2.0,5.0,Split_2
8.0,VEX,39,5,7,4,3,19,0,14,0,Lobby 1,Semifinals,7.0,5.0,3.0,4.0,Split_2
9.0,VS,37,4,7,17,1,11,4,6,7,Lobby 1,Semifinals,19.0,0.0,7.0,6.0,Split_2
10.0,ETOLS,37,1,7,7,3,18,0,8,0,Lobby 1,Semifinals,9.0,3.0,10.0,3.0,Split_2
11.0,LLGS,35,7,10,16,0,8,4,3,2,Lobby 1,Semifinals,13.0,0.0,6.0,3.0,Split_2
12.0,N2H,34,11,2,8,0,4,5,7,8,Lobby 1,Semifinals,16.0,1.0,4.0,2.0,Split_2
13.0,ALT,27,12,0,10,3,2,3,12,0,Lobby 1,Semifinals,17.0,3.0,11.0,4.0,Split_2
14.0,OC,24,18,0,12,0,10,1,2,9,Lobby 1,Semifinals,14.0,0.0,17.0,1.0,Split_2
15.0,NES,23,8,1,5,7,14,0,11,3,Lobby 1,Semifinals,15.0,1.0,13.0,1.0,Split_2
16.0,DCS,18,9,1,9,2,13,0,17,1,Lobby 1,Semifinals,10.0,0.0,15.0,6.0,Split_2
17.0,TU,16,19,0,3,2,16,0,19,0,Lobby 1,Semifinals,8.0,0.0,9.0,3.0,Split_2
18.0,REVO,14,13,0,18,0,17,0,10,1,Lobby 1,Semifinals,6.0,4.0,8.0,1.0,Split_2
19.0,GEKI,9,17,1,15,0,15,5,18,1,Lobby 1,Semifinals,18.0,0.0,16.0,0.0,Split_2
20.0,BMY,0,0,0,0,0,0,0,0,0,Lobby 1,Semifinals,0.0,0.0,0.0,0.0,Split_2
1.0,DSG,115,1,14,4,13,1,19,18,3,Lobby 2,Semifinals,14.0,1.0,1.0,23.0,Split_2
2.0,VMJ,54,9,3,16,2,3,9,1,15,Lobby 2,Semifinals,16.0,0.0,5.0,0.0,Split_2
3.0,DON,48,3,5,2,6,11,5,14,1,Lobby 2,Semifinals,10.0,2.0,6.0,6.0,Split_2
4.0,NVS,44,5,4,9,0,4,8,3,0,Lobby 2,Semifinals,19.0,0.0,2.0,5.0,Split_2
5.0,ICHC,44,4,6,1,6,2,0,7,2,Lobby 2,Semifinals,18.0,0.0,17.0,1.0,Split_2
6.0,2ND,42,7,7,7,0,14,5,4,3,Lobby 2,Semifinals,12.0,5.0,3.0,2.0,Split_2
7.0,O2,39,18,1,14,0,7,3,2,6,Lobby 2,Semifinals,3.0,5.0,9.0,2.0,Split_2
8.0,NT,35,8,0,6,1,8,0,8,1,Lobby 2,Semifinals,4.0,14.0,4.0,0.0,Split_2
9.0,CRW,31,11,5,17,3,5,4,17,3,Lobby 2,Semifinals,8.0,4.0,8.0,3.0,Split_2
10.0,AXIZ,30,2,3,18,0,13,0,6,2,Lobby 2,Semifinals,2.0,2.0,11.0,0.0,Split_2
11.0,EGJP,27,6,4,8,0,16,0,5,6,Lobby 2,Semifinals,7.0,4.0,15.0,0.0,Split_2
12.0,FAFAFA,26,14,0,20,0,17,0,10,1,Lobby 2,Semifinals,1.0,7.0,12.0,2.0,Split_2
13.0,KZG,24,13,2,11,7,6,1,16,0,Lobby 2,Semifinals,5.0,5.0,16.0,0.0,Split_2
14.0,JDT,23,16,0,5,4,20,0,13,5,Lobby 2,Semifinals,9.0,0.0,7.0,4.0,Split_2
15.0,MIYAM,22,17,0,3,10,10,0,15,0,Lobby 2,Semifinals,20.0,0.0,13.0,1.0,Split_2
16.0,LFTSF,21,15,3,12,3,9,4,19,0,Lobby 2,Semifinals,11.0,3.0,19.0,3.0,Split_2
17.0,ScL,19,12,1,13,0,12,0,9,3,Lobby 2,Semifinals,13.0,1.0,10.0,6.0,Split_2
18.0,ORC,15,10,0,10,1,18,0,11,3,Lobby 2,Semifinals,6.0,2.0,14.0,0.0,Split_2
19.0,ART-G,2,19,0,19,0,15,0,12,0,Lobby 2,Semifinals,17.0,0.0,18.0,0.0,Split_2
20.0,HITBOX,2,20,0,15,0,19,0,20,0,Lobby 2,Semifinals,15.0,0.0,20.0,0.0,Split_2
1.0,DSG,98,2,16,6,9,1,16,1,13,Lobby 1,Finals,8.0,6.0,19.0,0.0,Split_2
2.0,CRW,60,19,3,13,3,15,2,6,3,Lobby 1,Finals,2.0,13.0,1.0,10.0,Split_2
3.0,VMJ,52,7,10,2,10,14,2,15,0,Lobby 1,Finals,20.0,0.0,5.0,12.0,Split_2
4.0,2ND,50,3,4,10,1,5,3,7,6,Lobby 1,Finals,3.0,7.0,10.0,4.0,Split_2
5.0,ETOLS,44,1,9,9,1,12,5,9,0,Lobby 1,Finals,16.0,1.0,3.0,4.0,Split_2
6.0,O2,38,8,3,16,0,9,2,3,9,Lobby 1,Finals,6.0,5.0,7.0,2.0,Split_2
7.0,NAT,37,12,0,7,5,6,5,2,3,Lobby 1,Finals,10.0,2.0,6.0,1.0,Split_2
8.0,ICHC,35,6,0,17,1,2,3,19,0,Lobby 1,Finals,1.0,6.0,14.0,0.0,Split_2
9.0,AXIZ,34,9,2,12,1,8,0,20,0,Lobby 1,Finals,4.0,2.0,2.0,10.0,Split_2
10.0,NT,33,4,3,14,3,3,4,18,0,Lobby 1,Finals,18.0,0.0,4.0,5.0,Split_2
11.0,DON,29,10,0,1,8,10,2,11,0,Lobby 1,Finals,9.0,0.0,20.0,0.0,Split_2
12.0,GEMI,24,5,5,8,3,17,0,8,0,Lobby 1,Finals,5.0,2.0,9.0,0.0,Split_2
13.0,VS,23,18,0,19,0,13,2,5,8,Lobby 1,Finals,13.0,3.0,8.0,2.0,Split_2
14.0,NVS,21,17,0,5,1,7,2,13,2,Lobby 1,Finals,11.0,7.0,18.0,0.0,Split_2
15.0,SYTH,18,16,0,3,1,11,2,14,3,Lobby 1,Finals,14.0,1.0,16.0,1.0,Split_2
16.0,EVA:E,17,11,0,11,3,4,3,10,1,Lobby 1,Finals,17.0,0.0,15.0,0.0,Split_2
17.0,VEX,15,14,1,4,3,19,1,17,0,Lobby 1,Finals,15.0,2.0,11.0,0.0,Split_2
18.0,BeastMode,14,15,0,18,0,16,3,12,4,Lobby 1,Finals,12.0,0.0,12.0,3.0,Split_2
19.0,HGC,14,20,0,20,0,18,1,4,3,Lobby 1,Finals,7.0,2.0,17.0,0.0,Split_2
20.0,RDNS,8,13,0,15,0,20,0,16,1,Lobby 1,Finals,19.0,0.0,13.0,4.0,Split_2
1.0,GEMI,66,5,6,4,3,1,7,1,17,Lobby 1,Quarterfinals,,,,,Split_2
2.0,REVO,54,4,1,1,5,2,13,7,6,Lobby 1,Quarterfinals,,,,,Split_2
3.0,O2,47,1,10,8,4,3,1,2,2,Lobby 1,Quarterfinals,,,,,Split_2
4.0,2ND,30,12,1,2,8,9,3,4,1,Lobby 1,Quarterfinals,,,,,Split_2
5.0,ORC,26,3,5,7,0,10,0,3,2,Lobby 1,Quarterfinals,,,,,Split_2
6.0,Oasis,22,6,3,6,8,7,1,13,0,Lobby 1,Quarterfinals,,,,,Split_2
7.0,EVA:E,20,10,0,5,3,8,2,6,4,Lobby 1,Quarterfinals,,,,,Split_2
8.0,Streamer,19,2,3,11,0,6,1,11,1,Lobby 1,Quarterfinals,,,,,Split_2
9.0,WG,19,8,0,3,3,5,1,10,0,Lobby 1,Quarterfinals,,,,,Split_2
10.0,LFTSF,16,9,1,12,0,4,1,5,2,Lobby 1,Quarterfinals,,,,,Split_2
11.0,JDT,15,13,0,9,3,11,4,8,2,Lobby 1,Quarterfinals,,,,,Split_2
12.0,BeastMode,13,7,5,10,0,13,0,9,0,Lobby 1,Quarterfinals,,,,,Split_2
13.0,WW,4,11,0,13,0,12,0,12,0,Lobby 1,Quarterfinals,,,,,Split_2
1.0,HITBOX,51,4,2,2,6,7,1,1,13,Lobby 2,Quarterfinals,,,,,Split_2
2.0,DON,36,9,0,1,7,11,0,3,7,Lobby 2,Quarterfinals,,,,,Split_2
3.0,EGJP,33,3,1,5,1,1,7,12,0,Lobby 2,Quarterfinals,,,,,Split_2
4.0,Zenith,31,12,0,3,7,4,6,6,2,Lobby 2,Quarterfinals,,,,,Split_2
5.0,ICHC,30,1,10,11,0,12,0,7,3,Lobby 2,Quarterfinals,,,,,Split_2
6.0,SYTH,30,7,3,7,3,2,7,8,0,Lobby 2,Quarterfinals,,,,,Split_2
7.0,AGND,27,2,4,9,2,5,0,4,1,Lobby 2,Quarterfinals,,,,,Split_2
