C vs D StandingsPlacements and killsPoints,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,B vs D StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints
,OF,16,8,0,7,1,14,0,12,0,7,3,12,1,Round 8,,,,14.0,
,As Misera,15,11,3,13,3,17,0,18,0,18,3,15,3,Round 8,,,,15.0,
,PTD,14,9,3,17,0,13,0,10,1,9,3,17,0,Round 8,,,,16.0,
,NG,14,4,1,11,1,16,0,15,3,16,0,14,1,Round 8,,,,17.0,
,PRDX,12,15,1,14,1,18,0,17,0,10,6,18,0,Round 8,,,,18.0,
,OMEGA,11,16,0,20,0,19,0,6,5,17,0,13,2,Round 8,,,,19.0,
,Duty calls,6,18,1,19,1,9,0,19,0,20,0,10,0,Round 8,,,,20.0,
,ELV,105,6,10,1,18,1,9,1,13,10,4,9,8,Round 9,,,,,1.0
,SNG,82,3,7,14,0,12,0,10,3,1,22,2,18,Round 9,,,,,2.0
,DFX,53,11,0,2,9,5,6,4,3,5,5,5,3,Round 9,,,,,3.0
,BRZ,52,7,2,7,3,8,5,7,2,2,4,1,4,Round 9,,,,,4.0
,FL,45,4,8,17,0,3,12,12,3,8,6,15,0,Round 9,,,,,5.0
,PTD,45,1,11,9,0,4,4,13,0,6,2,10,3,Round 9,,,,,6.0
,USB,35,18,0,10,3,13,1,5,3,3,2,3,5,Round 9,,,,,7.0
,DC,30,15,0,13,5,7,4,2,5,14,0,17,1,Round 9,,,,,8.0
,KZN,30,5,2,6,3,10,2,18,1,11,3,4,4,Round 9,,,,,9.0
,ODK,30,2,7,18,0,19,0,11,3,9,3,6,2,Round 9,,,,,10.0
,AIM,29,10,1,3,1,9,0,6,5,4,0,8,1,Round 9,,,,,11.0
,OF,28,8,3,4,3,14,3,3,1,13,1,14,0,Round 9,,,,,12.0
,FSN,26,9,0,11,4,2,2,17,3,7,1,12,0,Round 9,,,,,13.0
,NG,14,12,3,12,1,16,1,19,0,18,0,7,4,Round 9,,,,,14.0
,No Org,14,19,0,8,5,15,0,15,2,12,2,18,0,Round 9,,,,,15.0
,INS,14,17,0,19,0,6,4,8,3,15,1,19,0,Round 9,,,,,16.0
,ElemenT,10,16,0,5,0,11,0,14,3,19,0,13,0,Round 9,,,,,17.0
,TK,7,13,0,15,0,17,1,16,0,17,3,16,1,Round 9,,,,,18.0
,BHT,7,14,0,16,0,18,0,9,3,16,0,11,0,Round 9,,,,,19.0
,Natural Killer,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 9,,,,,20.0
